Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,i5 4202Y,918,42.8,627,https://cpu.userbenchmark.com/SpeedTest/6438/IntelR CoreTM i5 4202Y CPU   160GHz
CPU,,Intel,E8300,919,42.8,1340,https://cpu.userbenchmark.com/SpeedTest/1068/IntelR CoreTM2 CPU     E8300    283GHz
CPU,,Intel,B830,920,42.8,2968,https://cpu.userbenchmark.com/SpeedTest/8441/IntelR CeleronR CPU B830   180GHz
CPU,,AMD,Athlon II X2 245,921,42.8,5745,https://cpu.userbenchmark.com/SpeedTest/2018/AMD Athlontm II X2 245 Processor
CPU,,AMD,A6 5400K APU,922,42.8,7240,https://cpu.userbenchmark.com/SpeedTest/4113/AMD A6 5400K APU with Radeontm HD Graphics
CPU,,Intel,i3 2367M,923,42.7,1949,https://cpu.userbenchmark.com/SpeedTest/526/IntelR CoreTM i3 2367M CPU   140GHz
CPU,,Intel,m7 6Y75,924,42.6,1716,https://cpu.userbenchmark.com/SpeedTest/55308/IntelR CoreTM m7 6Y75 CPU   120GHz
CPU,,AMD,A8 3510MX APU,925,42.6,482,https://cpu.userbenchmark.com/SpeedTest/5873/AMD A8 3510MX APU with Radeontm HD Graphics
CPU,,Intel,E6800,926,42.6,782,https://cpu.userbenchmark.com/SpeedTest/4231/PentiumR Dual Core  CPU      E6800    333GHz
CPU,,Intel,B820,927,42.6,3115,https://cpu.userbenchmark.com/SpeedTest/7064/IntelR CeleronR CPU B820   170GHz
CPU,,AMD,Phenom 9150e,928,42.5,901,https://cpu.userbenchmark.com/SpeedTest/7599/AMD Phenomtm 9150e Processor
CPU,,AMD,Athlon X2 240,929,42.5,277,https://cpu.userbenchmark.com/SpeedTest/8553/AMD Athlontm X2 240 Processor
CPU,,AMD,A4 6300 APU,930,42.4,11122,https://cpu.userbenchmark.com/SpeedTest/10639/AMD A4 6300 APU with Radeontm HD Graphics
CPU,,Intel,T9800,931,42.3,501,https://cpu.userbenchmark.com/SpeedTest/7044/IntelR CoreTM2 CPU     T9800    293GHz
CPU,,Intel,T9900,932,42.3,980,https://cpu.userbenchmark.com/SpeedTest/972/IntelR CoreTM2 CPU     T9900    306GHz
CPU,,Intel,E5335,933,42.2,161,https://cpu.userbenchmark.com/SpeedTest/24658/IntelR XeonR CPU           E5335    200GHz
CPU,,Intel,i7 M 620,934,42.2,7678,https://cpu.userbenchmark.com/SpeedTest/870/IntelR CoreTM i7 CPU       M 620    267GHz
